ci,calif,fecha
4123000,A,14/09/2026
4123001,A,14/09/2026
4123002,A,14/09/2026
4123003,A,14/09/2026
4123004,B,14/09/2026
4123005,B,14/09/2026
4123006,A,14/09/2026
4123007,B,14/09/2026
4123008,A,14/09/2026
4123009,A,14/09/2026
4123010,A,14/09/2026
4123011,A,14/09/2026
4123012,A,14/09/2026
4123013,A,14/09/2026
4123014,A,14/09/2026
4123015,B,14/09/2026
4123016,B,14/09/2026
4123017,A,14/09/2026
4123018,A,14/09/2026
4123019,A,14/09/2026
4123020,B,14/09/2026
4123021,A,14/09/2026
4123022,A,14/09/2026
4123023,A,14/09/2026
4123024,A,14/09/2026
4123025,A,14/09/2026
4123026,A,14/09/2026
4123027,B,14/09/2026
4123028,B,14/09/2026
4123029,A,14/09/2026
4123030,A,14/09/2026
